theta	ratio	Cp
123.271186	0.782327	-1.735517
77.244075	1.364129	-3.746717
24.113325	0.590127	-0.575056
113.533372	0.681903	-1.717362
37.804724	0.542779	-1.080193
156.192317	1.310719	0.669621
178.334324	1.198470	0.998020
111.062660	1.396206	-2.672115
91.477733	0.826901	-2.336528
67.524945	0.560261	-1.394042
52.779066	0.841698	-1.630136
114.471777	0.772828	-1.926659
151.068966	1.240400	0.426249
41.307130	0.908814	-0.934529
133.157034	1.410491	-0.297012
154.812704	1.231262	0.562948
0.088103	1.254558	0.999995
25.462039	0.838226	-0.063478
11.095643	0.597444	0.408293
63.992018	0.746407	-1.840090
27.597886	0.959853	0.064608
55.423854	0.582593	-1.374644
93.594574	1.223316	-3.899828
15.261242	0.615327	0.108169
160.858328	1.217854	0.744596
5.362048	1.213307	0.980167
121.672213	0.620680	-1.486165
139.876532	1.424659	0.135426
46.998498	1.302791	-0.512816
118.859690	0.987162	-2.064836
106.082536	1.264307	-3.228942
166.905505	0.787494	0.605927
4.387511	0.646515	0.911628
143.418391	1.166074	-0.076957
97.499336	1.078072	-3.219609
116.855311	0.514165	-1.252336
133.243556	0.947377	-1.214429
141.003734	0.669876	-1.133251
135.915634	1.432283	-0.078336
17.164925	0.970047	0.622494
32.237218	0.960127	-0.224872
62.046581	1.333170	-1.880892
99.813363	0.830184	-2.302637
30.191570	0.980757	-0.050945
118.236168	1.390870	-1.749238
63.392140	0.651318	-1.609032
169.464016	0.708026	0.647015
157.616297	1.271785	0.685768
51.062937	0.859003	-1.549647
62.623436	0.793094	-1.906802
142.172351	0.932846	-0.655938
179.144727	1.455476	0.999701
176.756952	0.816433	0.976329
117.813338	0.798404	-1.905674
41.454348	1.370262	-0.018060
147.816276	0.743500	-0.715906
125.107482	1.096882	-1.563177
148.810737	1.437099	0.530065
101.970260	0.508054	-1.267437
131.877928	0.821434	-1.428769
6.289251	1.011472	0.953586
165.575695	1.449530	0.911413
65.343955	1.178559	-2.374403
73.219058	0.607529	-1.552530
145.551575	1.407711	0.379705
159.479285	0.689918	-0.091185
164.442789	1.058446	0.753555
91.939380	1.206245	-3.855728
43.975544	0.757433	-1.281838
9.940681	1.204703	0.930135
82.768303	0.927934	-2.673079
9.531048	0.953272	0.874055
32.526836	1.152284	0.131673
53.850667	1.226488	-1.245512
83.781601	0.763518	-2.097500
80.054246	0.886264	-2.491752
22.159320	0.991047	0.418387
45.640064	1.265636	-0.486249
162.281097	0.534525	-0.308434
66.464461	1.289681	-2.438215
87.760397	0.565065	-1.449046
37.016769	0.738603	-0.984124
175.788045	0.998195	0.978306
168.798630	1.031120	0.861680
104.934368	1.474039	-3.581983
54.162921	1.066292	-1.550119
7.052011	1.109432	0.955502
151.355239	1.028329	0.133466
77.610218	1.074697	-3.044034
33.517117	1.173463	0.112481
44.838341	0.729561	-1.325181
49.081482	0.912804	-1.404581
161.777986	0.936861	0.537327
137.213450	0.800626	-1.191277
58.957285	1.345823	-1.514562
128.451434	0.700852	-1.510921
14.290305	0.877276	0.652077
25.008597	1.497363	0.741217
163.299359	0.943715	0.614934
